CERTIFICATION,GENRE,APPELLATION,MENTION,LIEU,COULEUR,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
AOC,,AOC Alsace Grand Cru,,Osterberg,,Muscat,AOC Alsace Grand Cru Osterberg Muscat,1B030S 2
AOC,,AOC Alsace Grand Cru,,Osterberg,,Gewurztraminer,AOC Alsace Grand Cru Osterberg Gewurztraminer,1B030S 1
AOC,,AOC Alsace Grand Cru,,Pfersigberg,,Riesling,AOC Alsace Grand Cru Pfersigberg Riesling,1B031S 4
AOC,,AOC Alsace Grand Cru,,Pfersigberg,,Pinot Gris,AOC Alsace Grand Cru Pfersigberg Pinot Gris,1B031S 3
AOC,,AOC Alsace Grand Cru,,Pfersigberg,,Muscat,AOC Alsace Grand Cru Pfersigberg Muscat,1B031S 2
AOC,,AOC Alsace Grand Cru,,Pfersigberg,,Gewurztraminer,AOC Alsace Grand Cru Pfersigberg Gewurztraminer,1B031S 1
AOC,,AOC Alsace Grand Cru,,Pfingstberg,,Riesling,AOC Alsace Grand Cru Pfingstberg Riesling,1B032S 4
AOC,,AOC Alsace Grand Cru,,Pfingstberg,,Pinot Gris,AOC Alsace Grand Cru Pfingstberg Pinot Gris,1B032S 3
AOC,,AOC Alsace Grand Cru,,Pfingstberg,,Muscat,AOC Alsace Grand Cru Pfingstberg Muscat,1B032S 2
AOC,,AOC Alsace Grand Cru,,Pfingstberg,,Gewurztraminer,AOC Alsace Grand Cru Pfingstberg Gewurztraminer,1B032S 1
AOC,,AOC Alsace Grand Cru,,Praelatenberg,,Riesling,AOC Alsace Grand Cru Praelatenberg Riesling,1B033S 4
AOC,,AOC Alsace Grand Cru,,Praelatenberg,,Pinot Gris,AOC Alsace Grand Cru Praelatenberg Pinot Gris,1B033S 3
